ticket_id,customer_id,created_at,resolved_at,priority,category,status,subject
1,1,2025-07-06 15:58:00,,high,billing,in_progress,Question about pricing for annual plan
2,1,2025-06-08 10:52:00,2025-06-08 19:47:27,critical,technical,resolved,Dashboard loading slowly
3,3,2024-03-12 12:08:00,2024-03-14 19:10:07,critical,technical,resolved,SSO login not working with Okta
4,3,2023-03-01 11:06:00,2023-03-02 05:38:38,medium,billing,resolved,Invoice discrepancy for May
5,3,2022-12-25 09:50:00,2022-12-25 16:46:34,medium,billing,resolved,Invoice discrepancy for March
6,3,2024-06-24 17:22:00,2024-06-26 18:20:46,high,technical,resolved,Cannot export report to PDF
7,4,2025-09-07 08:33:00,2025-09-13 11:17:20,low,technical,resolved,Dashboard loading slowly
8,4,2025-07-12 15:23:00,2025-07-18 10:16:38,low,onboarding,resolved,Training session request for our team
9,5,2025-09-27 09:33:00,2025-09-28 22:13:38,high,billing,closed,Refund request for double charge
10,5,2025-08-17 12:29:00,,medium,feature_request,in_progress,Support for custom fields in tasks
11,5,2025-08-28 12:54:00,,high,technical,in_progress,API timeout errors on bulk requests
12,5,2025-02-07 18:31:00,2025-02-09 17:13:11,medium,onboarding,closed,Training session request for our team
13,6,2023-07-19 10:04:00,2023-07-23 03:15:13,low,technical,resolved,SSO login not working with Okta
14,8,2024-05-13 18:25:00,,medium,technical,in_progress,Data sync delay with Salesforce integration
15,8,2023-08-29 15:06:00,2023-09-13 21:38:44,medium,billing,closed,Invoice discrepancy for March
16,8,2024-12-23 17:43:00,2024-12-28 21:18:04,medium,technical,closed,SSO login not working with Okta
17,8,2024-06-24 18:31:00,2024-06-30 03:39:48,low,technical,resolved,SSO login not working with Okta
18,9,2025-04-13 15:29:00,2025-04-14 03:31:12,low,billing,closed,Refund request for double charge
19,9,2025-10-29 09:36:00,2025-10-31 03:32:43,medium,onboarding,resolved,Help importing existing project data
20,10,2025-10-30 12:31:00,2025-11-02 03:14:50,medium,feature_request,resolved,Add Gantt chart view for projects
21,10,2025-10-19 10:53:00,2025-10-24 02:20:45,high,technical,closed,Cannot export report to PDF
22,10,2025-10-29 13:26:00,2025-11-01 03:12:21,medium,technical,resolved,API timeout errors on bulk requests
23,10,2025-10-28 10:01:00,2025-10-29 11:11:35,low,feature_request,closed,Dark mode for the web interface
24,10,2025-11-09 15:37:00,2025-11-10 15:14:34,medium,billing,closed,Invoice discrepancy for December
25,11,2025-08-16 18:21:00,,low,billing,open,Refund request for double charge
26,11,2025-01-09 16:13:00,,low,technical,in_progress,Dashboard loading slowly
27,12,2025-03-24 17:06:00,2025-03-26 05:26:37,low,feature_request,closed,Add Gantt chart view for projects
28,13,2024-02-18 14:42:00,2024-02-20 15:42:46,low,feature_request,resolved,Add Gantt chart view for projects
29,13,2025-04-06 16:55:00,2025-04-07 03:56:41,medium,billing,closed,Need updated billing address
30,13,2025-01-17 08:33:00,2025-01-25 17:30:03,medium,technical,closed,SSO login not working with Okta
31,13,2025-09-13 09:40:00,2025-09-15 08:03:01,medium,technical,resolved,SSO login not working with Okta
32,13,2023-08-11 10:12:00,2023-08-11 12:03:31,high,billing,closed,Invoice discrepancy for April
33,14,2025-04-10 12:08:00,2025-04-12 06:25:23,high,billing,resolved,Refund request for double charge
34,15,2025-08-01 17:19:00,2025-08-02 10:01:41,critical,bug,resolved,File attachments lost after page refresh
35,15,2025-06-17 11:07:00,2025-06-20 03:55:29,medium,feature_request,closed,Mobile app notifications for deadlines
36,15,2025-07-12 17:07:00,2025-07-23 22:30:16,medium,onboarding,resolved,Training session request for our team
37,15,2025-06-18 09:11:00,2025-06-20 01:16:27,low,technical,resolved,API timeout errors on bulk requests
38,15,2025-08-29 15:43:00,2025-08-30 02:05:22,low,technical,closed,API timeout errors on bulk requests
39,15,2025-10-25 17:02:00,,medium,onboarding,open,Migration assistance from Asana
40,15,2025-08-19 12:40:00,2025-08-23 06:58:56,medium,bug,closed,Calendar view shows incorrect dates
41,15,2025-06-05 11:19:00,,high,technical,in_progress,SSO login not working with Okta
42,15,2025-07-22 09:52:00,2025-07-26 13:00:11,medium,onboarding,closed,Need help setting up team workspace
43,16,2025-06-21 12:32:00,2025-06-23 01:55:53,medium,billing,resolved,Invoice discrepancy for November
44,16,2025-04-23 10:40:00,2025-04-24 02:27:07,medium,technical,resolved,Cannot export report to PDF
45,16,2024-03-18 16:45:00,2024-03-27 20:51:28,high,bug,closed,File attachments lost after page refresh
46,16,2025-07-28 10:16:00,2025-07-29 08:16:09,medium,billing,closed,Unable to update payment method
47,16,2024-07-27 17:14:00,2024-07-29 11:43:01,low,billing,resolved,Refund request for double charge
48,17,2023-11-12 14:39:00,2023-11-12 22:53:45,low,technical,closed,SSO login not working with Okta
49,17,2024-05-09 11:12:00,2024-05-12 04:50:25,high,bug,closed,Email notifications sent to wrong recipients
50,17,2024-04-30 12:46:00,2024-05-01 02:50:23,medium,onboarding,closed,How to configure user roles and permissions
51,18,2025-09-30 11:23:00,2025-10-01 09:14:42,medium,feature_request,closed,Support for custom fields in tasks
52,18,2025-09-22 14:47:00,2025-09-23 21:26:15,low,feature_request,resolved,Add Gantt chart view for projects
53,18,2025-10-07 17:24:00,2025-10-09 09:18:41,medium,technical,closed,API timeout errors on bulk requests
54,18,2025-08-20 09:20:00,2025-08-21 16:48:24,medium,onboarding,closed,Migration assistance from Asana
55,18,2025-09-09 12:39:00,2025-09-10 17:40:18,critical,onboarding,closed,How to configure user roles and permissions
56,18,2025-10-27 18:51:00,2025-10-28 06:43:07,low,technical,resolved,SSO login not working with Okta
57,18,2025-08-18 15:02:00,2025-08-19 21:33:08,critical,technical,resolved,Cannot export report to PDF
58,18,2025-08-15 11:55:00,2025-08-20 09:29:12,high,technical,resolved,Data sync delay with Salesforce integration
59,20,2025-05-23 09:15:00,,medium,onboarding,open,Migration assistance from Asana
60,20,2025-10-05 09:25:00,2025-10-06 09:39:47,critical,technical,closed,SSO login not working with Okta
61,20,2025-09-08 12:38:00,2025-09-10 13:14:37,medium,onboarding,resolved,How to configure user roles and permissions
62,21,2025-10-09 09:35:00,2025-10-12 05:45:40,medium,bug,closed,Calendar view shows incorrect dates
63,21,2025-10-15 09:19:00,2025-10-15 21:05:27,medium,technical,resolved,API timeout errors on bulk requests
64,21,2025-10-12 13:32:00,2025-10-13 01:47:29,medium,billing,resolved,Refund request for double charge
65,21,2025-11-14 10:27:00,,low,feature_request,in_progress,Bulk task import from CSV
66,22,2025-09-21 16:05:00,,medium,technical,in_progress,API timeout errors on bulk requests
67,22,2025-05-11 18:57:00,2025-05-13 13:58:41,low,technical,resolved,Data sync delay with Salesforce integration
68,23,2025-10-20 18:46:00,2025-10-21 02:34:26,low,feature_request,resolved,Mobile app notifications for deadlines
69,24,2025-08-26 10:53:00,,low,technical,in_progress,API timeout errors on bulk requests
70,24,2025-07-25 15:48:00,2025-07-26 08:56:28,medium,onboarding,closed,Need help setting up team workspace
71,24,2025-04-19 08:00:00,2025-04-20 13:31:17,low,technical,closed,API timeout errors on bulk requests
72,25,2025-03-06 18:44:00,2025-03-07 10:00:41,high,onboarding,resolved,How to configure user roles and permissions
73,25,2023-10-30 15:41:00,2023-11-04 21:06:40,low,billing,resolved,Question about pricing for annual plan
74,25,2023-08-28 15:27:00,2023-08-29 14:48:45,low,billing,resolved,Unable to update payment method
75,25,2024-11-02 14:03:00,2024-11-03 17:09:19,low,technical,closed,Data sync delay with Salesforce integration
76,25,2025-04-16 16:18:00,2025-04-17 12:35:40,medium,billing,resolved,Refund request for double charge
77,27,2025-06-10 14:56:00,,medium,technical,in_progress,SSO login not working with Okta
78,27,2024-11-05 08:10:00,2024-11-06 02:32:31,low,technical,closed,Data sync delay with Salesforce integration
79,27,2025-06-19 15:08:00,2025-06-19 18:03:42,high,bug,closed,File attachments lost after page refresh
80,28,2025-10-29 11:18:00,2025-10-30 04:20:31,low,onboarding,closed,Need help setting up team workspace
81,28,2025-09-26 12:15:00,2025-09-30 07:44:56,low,technical,resolved,Dashboard loading slowly
82,28,2025-05-31 09:21:00,2025-06-01 02:51:03,medium,technical,closed,API timeout errors on bulk requests
83,28,2025-10-12 12:57:00,2025-10-16 06:06:04,medium,billing,closed,Refund request for double charge
84,29,2025-10-24 09:52:00,2025-10-25 00:23:05,medium,feature_request,closed,Support for custom fields in tasks
85,29,2025-10-03 15:48:00,2025-10-05 16:11:14,high,feature_request,resolved,Add Gantt chart view for projects
86,29,2025-10-13 14:49:00,2025-10-14 09:55:23,low,onboarding,resolved,Migration assistance from Asana
87,29,2025-10-30 14:23:00,2025-11-01 08:26:28,low,feature_request,resolved,Mobile app notifications for deadlines
88,29,2025-11-12 14:57:00,2025-11-13 16:53:06,high,technical,resolved,Cannot export report to PDF
89,29,2025-11-05 16:04:00,,medium,billing,open,Refund request for double charge
90,29,2025-10-10 08:42:00,2025-10-15 22:30:10,low,bug,closed,Calendar view shows incorrect dates
91,29,2025-09-15 12:57:00,2025-09-16 18:26:03,critical,feature_request,closed,Dark mode for the web interface
92,30,2025-10-21 11:56:00,2025-10-27 14:12:57,low,technical,resolved,Data sync delay with Salesforce integration
93,30,2025-10-06 11:05:00,2025-10-08 05:06:43,medium,feature_request,closed,Support for custom fields in tasks
94,30,2025-10-24 16:07:00,2025-10-26 01:43:19,high,onboarding,resolved,Training session request for our team
95,31,2025-11-05 11:51:00,2025-11-08 11:28:10,medium,onboarding,closed,Migration assistance from Asana
96,31,2025-11-13 18:08:00,2025-11-14 10:27:38,medium,onboarding,closed,Training session request for our team
97,31,2025-10-30 14:53:00,2025-10-31 05:38:27,low,technical,resolved,API timeout errors on bulk requests
98,32,2025-02-17 14:37:00,,high,feature_request,in_progress,Mobile app notifications for deadlines
99,32,2025-08-03 15:46:00,2025-08-03 19:22:58,high,bug,resolved,Search results not returning recent items
100,32,2023-12-27 11:29:00,,high,technical,in_progress,Cannot export report to PDF
101,33,2024-04-08 17:18:00,2024-04-09 22:47:56,low,billing,resolved,Need updated billing address
102,33,2022-06-21 12:56:00,2022-06-22 20:32:07,low,technical,closed,API timeout errors on bulk requests
103,33,2024-11-11 17:08:00,2024-11-12 21:28:04,medium,onboarding,closed,Need help setting up team workspace
104,33,2025-09-11 14:24:00,2025-09-15 22:15:17,medium,technical,resolved,Cannot export report to PDF
105,34,2025-09-18 16:41:00,2025-09-20 22:16:03,medium,billing,resolved,Need updated billing address
106,34,2025-08-18 15:32:00,,low,bug,open,Task status not updating after drag-and-drop
107,34,2025-08-22 11:53:00,2025-08-27 18:15:42,high,onboarding,closed,Help importing existing project data
108,36,2025-07-20 14:11:00,2025-07-21 10:52:12,high,technical,resolved,Data sync delay with Salesforce integration
109,36,2025-07-06 10:11:00,2025-07-07 13:31:42,low,technical,closed,Dashboard loading slowly
110,36,2025-10-23 08:19:00,2025-10-24 04:44:55,medium,technical,resolved,Cannot export report to PDF
111,36,2025-06-24 17:37:00,2025-06-28 16:43:16,medium,technical,closed,SSO login not working with Okta
112,37,2025-03-13 18:14:00,2025-03-15 09:16:16,low,bug,resolved,Calendar view shows incorrect dates
113,38,2024-12-29 15:05:00,2024-12-29 23:47:51,medium,onboarding,resolved,How to configure user roles and permissions
114,38,2025-02-01 16:28:00,,high,billing,in_progress,Unable to update payment method
115,38,2023-01-19 15:17:00,2023-01-20 07:50:33,high,feature_request,closed,Add Gantt chart view for projects
116,38,2025-09-15 17:04:00,2025-09-16 01:17:00,medium,technical,closed,SSO login not working with Okta
117,38,2025-07-17 13:56:00,2025-07-20 15:03:12,medium,onboarding,resolved,Migration assistance from Asana
118,39,2024-05-02 08:58:00,2024-05-03 06:58:31,medium,onboarding,resolved,Training session request for our team
119,39,2025-05-14 15:48:00,,low,technical,open,Data sync delay with Salesforce integration
120,39,2025-09-30 18:28:00,2025-10-04 01:54:22,medium,onboarding,resolved,Need help setting up team workspace
121,39,2024-09-16 13:59:00,2024-09-22 02:38:43,low,billing,closed,Unable to update payment method
122,39,2025-09-13 17:40:00,2025-09-15 02:14:04,high,technical,closed,SSO login not working with Okta
123,40,2025-10-12 17:13:00,2025-10-13 06:21:59,critical,billing,closed,Unable to update payment method
124,40,2025-08-07 18:47:00,2025-08-08 06:52:15,medium,feature_request,resolved,Bulk task import from CSV
125,40,2025-10-22 12:12:00,,low,onboarding,in_progress,Help importing existing project data
126,40,2025-07-14 14:41:00,,medium,onboarding,in_progress,Training session request for our team
127,40,2025-08-18 09:43:00,2025-08-19 21:38:14,medium,feature_request,closed,Support for custom fields in tasks
128,40,2025-07-24 17:51:00,,high,billing,in_progress,Invoice discrepancy for April
129,40,2025-08-08 10:21:00,2025-08-09 14:02:11,medium,technical,closed,API timeout errors on bulk requests
130,40,2025-07-27 15:15:00,2025-07-29 01:51:45,high,bug,resolved,Search results not returning recent items
131,40,2025-09-08 09:40:00,,low,technical,open,SSO login not working with Okta
132,40,2025-11-04 09:50:00,2025-11-04 23:08:54,critical,billing,resolved,Invoice discrepancy for November
133,41,2024-10-11 14:06:00,,medium,feature_request,open,Mobile app notifications for deadlines
134,41,2025-03-29 14:56:00,2025-03-31 12:03:54,low,feature_request,closed,Bulk task import from CSV
135,41,2023-03-31 09:00:00,2023-03-31 18:39:51,low,feature_request,closed,Dark mode for the web interface
136,41,2025-05-03 17:28:00,2025-05-04 00:35:06,low,billing,closed,Question about pricing for annual plan
137,42,2025-10-14 16:49:00,2025-10-16 05:00:00,medium,billing,resolved,Invoice discrepancy for April
138,42,2024-09-22 16:54:00,,medium,billing,open,Invoice discrepancy for June
139,42,2023-11-01 18:30:00,2023-11-02 11:09:29,critical,onboarding,closed,Help importing existing project data
140,42,2024-06-23 13:10:00,,high,billing,in_progress,Unable to update payment method
141,43,2024-08-08 17:13:00,,high,technical,in_progress,SSO login not working with Okta
142,44,2024-12-04 10:52:00,2024-12-05 08:04:02,medium,bug,closed,Task status not updating after drag-and-drop
143,45,2023-11-12 12:46:00,2023-11-13 06:21:03,high,billing,closed,Invoice discrepancy for January
144,45,2025-07-31 18:08:00,2025-08-04 19:19:03,high,technical,resolved,API timeout errors on bulk requests
145,45,2025-02-06 10:33:00,,critical,bug,open,Task status not updating after drag-and-drop
146,45,2025-09-21 10:50:00,2025-09-22 05:59:15,medium,billing,resolved,Invoice discrepancy for October
147,46,2025-08-18 11:54:00,2025-08-19 07:08:23,high,feature_request,closed,Bulk task import from CSV
148,46,2025-05-02 16:24:00,2025-05-04 01:21:57,medium,onboarding,closed,Migration assistance from Asana
149,46,2025-09-14 15:45:00,2025-09-18 22:25:32,medium,bug,resolved,Email notifications sent to wrong recipients
150,46,2025-11-05 11:28:00,2025-11-12 00:23:20,medium,bug,closed,Calendar view shows incorrect dates
151,46,2025-04-11 10:48:00,2025-04-13 06:09:08,medium,billing,closed,Refund request for double charge
152,47,2025-06-22 13:17:00,2025-06-24 14:08:56,low,technical,resolved,API timeout errors on bulk requests
153,48,2025-09-29 16:41:00,2025-09-30 04:35:30,low,billing,resolved,Question about pricing for annual plan
154,48,2025-06-27 12:19:00,2025-06-27 20:59:06,high,onboarding,resolved,Help importing existing project data
155,48,2025-01-14 12:18:00,2025-01-15 10:50:08,high,onboarding,resolved,Training session request for our team
156,48,2025-09-29 10:55:00,2025-09-30 17:09:52,low,technical,closed,SSO login not working with Okta
157,49,2025-01-08 14:49:00,2025-01-09 00:05:48,medium,bug,closed,Calendar view shows incorrect dates
158,49,2025-01-27 14:27:00,2025-01-29 02:53:31,medium,onboarding,resolved,Help importing existing project data
159,49,2024-12-14 10:21:00,,high,feature_request,in_progress,Mobile app notifications for deadlines
160,49,2025-04-22 09:34:00,2025-04-23 07:39:56,medium,technical,resolved,Cannot export report to PDF
161,50,2025-11-06 08:11:00,2025-11-07 00:26:09,critical,billing,resolved,Refund request for double charge
162,51,2024-01-17 14:25:00,2024-01-18 22:13:53,low,billing,resolved,Unable to update payment method
163,51,2023-12-31 14:52:00,2024-01-09 04:33:04,medium,onboarding,closed,Migration assistance from Asana
164,51,2023-02-24 10:28:00,2023-02-26 16:45:59,medium,billing,closed,Refund request for double charge
165,52,2025-06-17 08:47:00,,medium,billing,in_progress,Question about pricing for annual plan
166,52,2025-09-01 10:26:00,2025-09-02 01:08:41,high,technical,resolved,Data sync delay with Salesforce integration
167,52,2024-06-08 08:15:00,,low,bug,in_progress,Task status not updating after drag-and-drop
168,52,2023-06-13 15:26:00,,medium,bug,open,Task status not updating after drag-and-drop
169,53,2025-03-05 10:16:00,2025-03-08 07:17:17,low,technical,closed,SSO login not working with Okta
170,53,2025-08-03 14:54:00,2025-08-05 17:04:11,low,billing,closed,Refund request for double charge
171,53,2024-08-21 09:35:00,2024-08-22 16:28:29,high,onboarding,resolved,How to configure user roles and permissions
172,53,2025-05-24 09:11:00,2025-05-26 08:37:27,medium,technical,closed,Dashboard loading slowly
173,54,2024-03-15 18:34:00,2024-03-21 21:18:17,medium,technical,resolved,SSO login not working with Okta
174,55,2025-01-05 08:49:00,2025-01-08 16:22:40,low,technical,resolved,SSO login not working with Okta
175,55,2025-01-10 13:52:00,2025-01-13 07:18:56,medium,billing,resolved,Invoice discrepancy for July
176,55,2025-09-22 09:52:00,2025-09-22 20:55:49,medium,technical,closed,Cannot export report to PDF
177,56,2024-04-27 09:22:00,2024-04-27 17:30:04,low,technical,closed,Data sync delay with Salesforce integration
178,56,2023-11-05 09:56:00,2023-11-08 06:21:08,medium,technical,resolved,Data sync delay with Salesforce integration
179,56,2025-06-29 14:43:00,2025-06-29 17:54:52,high,bug,closed,File attachments lost after page refresh
180,56,2024-08-30 08:38:00,2024-09-02 12:59:17,medium,bug,resolved,Email notifications sent to wrong recipients
181,59,2025-08-05 17:05:00,2025-08-06 08:42:32,medium,billing,resolved,Unable to update payment method
182,59,2025-11-04 15:47:00,2025-11-07 21:41:19,low,bug,closed,Task status not updating after drag-and-drop
183,60,2025-08-28 13:21:00,,medium,technical,open,Dashboard loading slowly
184,60,2025-09-23 14:33:00,2025-09-23 22:22:22,medium,technical,resolved,Dashboard loading slowly
185,60,2023-07-16 10:37:00,2023-07-17 20:28:31,high,feature_request,closed,Dark mode for the web interface
186,60,2025-04-21 11:15:00,2025-04-22 04:22:33,medium,technical,closed,SSO login not working with Okta
187,60,2023-10-02 15:28:00,2023-10-03 20:33:13,medium,technical,closed,Cannot export report to PDF
188,60,2024-12-13 16:09:00,2024-12-14 12:57:27,low,feature_request,closed,Add Gantt chart view for projects
189,60,2023-08-31 15:12:00,2023-09-02 00:27:37,low,billing,closed,Refund request for double charge
190,61,2024-11-26 14:31:00,2024-11-29 06:45:02,critical,technical,closed,API timeout errors on bulk requests
191,61,2023-02-19 18:24:00,2023-02-22 12:42:22,high,bug,resolved,Calendar view shows incorrect dates
192,61,2025-05-13 18:09:00,,medium,technical,open,Cannot export report to PDF
193,61,2023-05-01 18:45:00,2023-05-07 12:57:53,medium,bug,resolved,File attachments lost after page refresh
194,61,2025-03-16 12:44:00,2025-03-17 13:29:54,critical,technical,closed,Cannot export report to PDF
195,61,2024-09-28 10:17:00,2024-09-29 23:46:07,critical,onboarding,closed,How to configure user roles and permissions
196,61,2024-11-29 10:45:00,2024-11-29 17:49:01,medium,billing,resolved,Unable to update payment method
197,61,2023-02-21 10:51:00,,low,onboarding,in_progress,Training session request for our team
198,61,2023-06-04 18:10:00,2023-06-05 07:51:00,low,billing,resolved,Invoice discrepancy for January
199,61,2024-04-20 08:42:00,2024-04-21 19:07:06,critical,feature_request,closed,Mobile app notifications for deadlines
200,62,2025-10-30 13:38:00,,medium,technical,in_progress,Dashboard loading slowly
201,63,2025-08-12 13:55:00,2025-08-17 08:07:58,low,technical,resolved,Cannot export report to PDF
202,63,2025-08-20 16:17:00,2025-08-21 17:44:39,high,bug,closed,Search results not returning recent items
203,64,2025-10-20 08:40:00,2025-10-21 10:25:22,high,bug,closed,File attachments lost after page refresh
204,65,2025-10-15 13:27:00,2025-10-18 23:13:21,critical,bug,resolved,File attachments lost after page refresh
205,65,2025-10-22 10:55:00,,medium,feature_request,open,Support for custom fields in tasks
206,66,2025-11-11 09:19:00,,critical,onboarding,in_progress,How to configure user roles and permissions
207,66,2025-05-21 15:42:00,2025-05-22 12:08:03,low,feature_request,closed,Support for custom fields in tasks
208,67,2025-08-12 09:42:00,2025-08-16 17:40:54,medium,billing,closed,Refund request for double charge
209,67,2025-10-25 14:41:00,,medium,feature_request,open,Support for custom fields in tasks
210,67,2024-01-22 12:05:00,2024-01-24 02:17:50,medium,billing,closed,Refund request for double charge
211,68,2025-08-14 08:19:00,2025-08-18 23:21:46,medium,billing,closed,Unable to update payment method
212,68,2025-05-31 17:37:00,2025-06-02 00:12:57,medium,technical,closed,Dashboard loading slowly
213,68,2025-06-17 15:09:00,2025-06-25 11:50:36,low,feature_request,closed,Dark mode for the web interface
214,68,2025-06-26 09:17:00,2025-06-30 14:26:11,high,bug,closed,Task status not updating after drag-and-drop
215,68,2023-12-25 11:54:00,2023-12-25 23:12:30,high,onboarding,closed,Migration assistance from Asana
216,68,2024-01-01 08:35:00,2024-01-02 06:10:39,medium,technical,resolved,Data sync delay with Salesforce integration
217,69,2024-02-07 16:25:00,2024-02-11 17:05:01,medium,billing,resolved,Need updated billing address
218,69,2024-10-17 15:18:00,2024-10-17 22:42:39,low,bug,closed,Search results not returning recent items
219,69,2025-06-16 10:24:00,2025-06-19 00:46:56,medium,bug,resolved,File attachments lost after page refresh
220,70,2025-10-05 09:15:00,2025-10-05 12:54:02,medium,technical,resolved,SSO login not working with Okta
221,70,2025-10-27 12:40:00,2025-10-27 20:49:06,medium,onboarding,resolved,Need help setting up team workspace
222,70,2025-11-08 17:30:00,2025-11-09 04:57:56,high,technical,closed,API timeout errors on bulk requests
223,70,2025-10-11 09:20:00,2025-10-13 07:31:06,critical,billing,closed,Invoice discrepancy for September
224,70,2025-11-09 16:45:00,2025-11-10 00:21:53,medium,onboarding,resolved,How to configure user roles and permissions
225,70,2025-10-14 08:35:00,2025-10-16 08:33:52,medium,technical,resolved,Data sync delay with Salesforce integration
226,70,2025-10-05 09:07:00,2025-10-05 12:05:25,medium,feature_request,resolved,Support for custom fields in tasks
227,71,2025-10-16 18:34:00,2025-11-08 01:04:34,medium,technical,closed,Data sync delay with Salesforce integration
228,71,2025-11-13 11:44:00,2025-11-14 03:09:22,high,billing,resolved,Unable to update payment method
229,71,2025-10-06 17:22:00,2025-10-08 06:32:34,high,technical,resolved,SSO login not working with Okta
230,71,2025-09-19 12:43:00,2025-09-20 03:00:54,medium,technical,resolved,SSO login not working with Okta
231,71,2025-10-19 14:24:00,2025-10-21 02:35:31,medium,billing,resolved,Question about pricing for annual plan
232,71,2025-10-13 10:55:00,2025-10-13 19:22:55,low,onboarding,closed,Help importing existing project data
233,71,2025-09-21 16:22:00,2025-09-29 21:13:34,high,onboarding,resolved,Migration assistance from Asana
234,71,2025-10-02 13:51:00,2025-10-06 15:18:41,critical,onboarding,closed,Help importing existing project data
235,71,2025-10-12 08:43:00,2025-10-12 23:48:29,low,feature_request,resolved,Dark mode for the web interface
236,72,2023-12-09 18:38:00,2023-12-10 15:18:06,medium,technical,closed,API timeout errors on bulk requests
237,72,2025-06-17 11:19:00,2025-06-19 05:50:51,low,feature_request,resolved,Add Gantt chart view for projects
